File Name,Pixel Count
20240419_131423,1216258
20240419_104301,1084133
20240419_104711,1003374
20240419_104658,886586
20240419_140218,865260
20240419_131636,1374821
20240419_142155,917923
20240419_131805,1269523
20240419_131756,1239898
20240419_142034,1018356
20240419_131435,1096846
20240419_131828,1299148
20240419_142024,1034851
20240419_140154,856705
20240419_131354,1345349
20240419_140142,875533
20240419_131235,1254358
20240419_131737,1242901
20240419_105041,976235
20240419_131333,1293780
20240419_131245,1150559
20240419_142123,1074496
20240419_105052,1055128
20240419_142053,1088316
20240419_131645,914991
20240419_140255,1008595
20240419_131726,1474775
20240419_140242,835043
20240419_131501,1251044
20240419_140307,912911
20240419_105114,965206
20240419_131448,1348683
20240419_105102,1087922
20240419_104751,1031280
20240419_142102,1128176
20240419_104157,1243086
20240419_131305,1202459
20240419_131315,1255879
20240419_142112,1163418
20240419_104146,909850
20240419_131658,1194825
20240419_142139,1001232
20240419_131712,1137764
20240419_140128,1104774
20240419_140114,882118
20240419_141949,911241
20240419_104226,1097916
20240419_104804,853665
20240419_104724,985433
20240419_104057,952522
20240419_131819,1291362
20240419_104108,1001755
20240419_104134,1120307
20240419_140206,608389
20240419_104326,1164579
20240419_142004,1192286
20240419_104125,962145
20240419_140229,754770
20240419_104735,773974
20240419_104244,1385610
