File Name,Pixel Count
20240503_094657,288732
20240503_094454,1261430
20240503_094245,1409476
20240503_095200,245987
20240503_094608,140683
20240503_094437,1574001
20240503_094418,1207701
20240503_094801,169042
20240503_094143,1446942
20240503_094359,2054866
20240503_094628,204010
20240503_095246,245110
20240503_132614,171617
20240503_094159,1516109
20240503_095045,163260
20240503_132228,315098
20240503_133120,1037901
20240503_132404,310748
20240503_094918,151688
20240503_133225,287284
20240503_133025,169877
20240503_095026,199965
20240503_132514,272914
20240503_132854,303235
20240503_094301,1444247
20240503_094317,402100
20240503_132711,405837
20240503_094840,233018
20240503_132936,1227872
20240503_094511,1697056
